44,Darius,Slayton,WR,NYG,11
45,Preston,Williams,WR,MIA,11
46,Emmanuel,Sanders,WR,NO,6
47,John,Brown,WR,BUF,11
48,Robby,Anderson,WR,CAR,13
49,Mecole,Hardman,WR,KC,10
50,Curtis,Samuel,WR,CAR,13
51,Jerry,Jeudy,WR,DEN,8
52,Mike,Williams,WR,LAC,10
53,N'Keal,Harry,WR,NE,6
54,Breshad,Perriman,WR,NYJ,11
55,Jalen,Reagor,WR,PHI,9
56,Justin,Jefferson,WR,MIN,7
57,DeSean,Jackson,WR,PHI,9
58,CeeDee,Lamb,WR,DAL,10
59,Michael,Pittman Jr.,WR,IND,7
60,Anthony,Miller,WR,CHI,11
61,Hunter,Renfrow,WR,LV,6
62,Sammy,Watkins,WR,KC,10
63,Alshon,Jeffery,WR,PHI,9
64,Parris,Campbell,WR,IND,7
65,Larry,Fitzgerald,WR,ARI,8
66,Brandon,Aiyuk,WR,SF,11
67,James,Washington,WR,PIT,8
68,Denzel,Mims,WR,NYJ,11
69,Antonio,Brown,WR,FA,0
70,Corey,Davis,WR,TEN,7
71,Russell,Gage,WR,ATL,10
72,Chase,Claypool,WR,PIT,8
73,Allen,Lazard,WR,GB,5
74,Cole,Beasley,WR,BUF,11
75,Danny,Amendola,WR,DET,5
76,Tee,Higgins,WR,CIN,9
77,Randall,Cobb,WR,HOU,8
78,Dede,Westbrook,WR,JAC,7
79,Josh,Reynolds,WR,LAR,9
80,KJ,Hamler,WR,DEN,8
81,Trent,Taylor,WR,SF,11
82,Tyrell,Williams,WR,LV,6
83,Mohamed,Sanu Sr.,WR,NE,6
84,Steven,Sims Jr.,WR,WAS,8
85,Chris,Conley,WR,JAC,7
